interaction,inputA,inputB,output,channel,error,modeA,signA,modeB,signB,referenceStability,eigenProductStability,productCount,zeroProductCount
32027,wave,wave,wave,u*dx(u),7.86213557135412e-07,23,1,24,1,3.52104054637126e-15,1.10610631764985e-10,1056,0
32027,wave,wave,wave,v*dy(u),0,1,1,1,1,0,0,0,1056
32027,wave,wave,wave,w*dz(u),7.86481409475326e-07,23,1,24,1,2.04381418886957e-14,2.07380572741875e-06,1056,0
32027,wave,wave,wave,u*dx(v),7.85761941184925e-07,23,1,24,1,3.47134919165186e-15,8.30715496391576e-11,1056,0
32027,wave,wave,wave,v*dy(v),0,1,1,1,1,0,0,0,1056
32027,wave,wave,wave,w*dz(v),7.86029563653534e-07,23,1,24,1,2.02766059499969e-14,2.03610622727705e-06,1056,0
32027,wave,wave,wave,u*dx(w),5.86631762855777e-10,24,1,24,1,9.99200722162641e-16,1.10442766043661e-10,1056,0
32027,wave,wave,wave,v*dy(w),0,1,1,1,1,0,0,0,1056
32027,wave,wave,wave,w*dz(w),5.86631762872221e-10,24,1,24,1,9.99200722162641e-16,1.10442766043661e-10,1056,0
32027,wave,wave,wave,u*dx(eta),3.98931288787113e-08,24,1,24,1,9.99200722162641e-16,8.27382606871652e-11,1056,0
32027,wave,wave,wave,v*dy(eta),0,1,1,1,1,0,0,0,1056
32027,wave,wave,wave,w*dz(eta),3.98931288807508e-08,24,1,24,1,1.11022302462516e-15,8.27380386425602e-11,1056,0
32027,wave,wave,wave,w*eta*dlogN2,2.40786700425455e-08,24,1,23,1,6.66133814775094e-16,8.32891533519842e-11,1056,0
32027,wave,apv,wave,u*dx(u),0,1,1,-1,0,0,0,0,288
32027,wave,apv,wave,v*dy(u),0,1,1,-1,0,0,0,0,288
32027,wave,apv,wave,w*dz(u),0,1,1,-1,0,0,0,0,288
32027,wave,apv,wave,u*dx(v),5.86647374087911e-11,24,1,5,0,2.2198184342283e-15,5.52435874823232e-11,288,0
32027,wave,apv,wave,v*dy(v),0,1,1,-1,0,0,0,0,288
32027,wave,apv,wave,w*dz(v),6.13639953072505e-11,24,1,5,0,2.59248026182552e-15,5.54680745779024e-11,288,0
32027,wave,apv,wave,u*dx(w),0,1,1,-1,0,0,0,0,288
32027,wave,apv,wave,v*dy(w),0,1,1,-1,0,0,0,0,288
32027,wave,apv,wave,w*dz(w),0,1,1,-1,0,0,0,0,288
32027,wave,apv,wave,u*dx(eta),1.74118366939726e-12,24,1,5,0,1.169903931843e-15,5.53384005286262e-11,288,0
32027,wave,apv,wave,v*dy(eta),0,1,1,-1,0,0,0,0,288
32027,wave,apv,wave,w*dz(eta),1.69824034515474e-12,24,1,5,0,6.66133814775094e-16,1.4941092807419e-10,288,0
32027,wave,apv,wave,w*eta*dlogN2,4.07053013474349e-12,24,1,5,0,6.66133814775094e-16,5.58224577673627e-11,288,0
32027,apv,wave,wave,u*dx(u),0,-1,0,1,1,0,0,0,288
32027,apv,wave,wave,v*dy(u),0,-1,0,1,1,0,0,0,288
32027,apv,wave,wave,w*dz(u),0,-1,0,1,1,0,0,0,288
32027,apv,wave,wave,u*dx(v),0,-1,0,1,1,0,0,0,288
32027,apv,wave,wave,v*dy(v),0,-1,0,1,1,0,0,0,288
32027,apv,wave,wave,w*dz(v),0,-1,0,1,1,0,0,0,288
32027,apv,wave,wave,u*dx(w),0,-1,0,1,1,0,0,0,288
32027,apv,wave,wave,v*dy(w),0,-1,0,1,1,0,0,0,288
32027,apv,wave,wave,w*dz(w),0,-1,0,1,1,0,0,0,288
32027,apv,wave,wave,u*dx(eta),0,-1,0,1,1,0,0,0,288
32027,apv,wave,wave,v*dy(eta),0,-1,0,1,1,0,0,0,288
32027,apv,wave,wave,w*dz(eta),0,-1,0,1,1,0,0,0,288
32027,apv,wave,wave,w*eta*dlogN2,0,-1,0,1,1,0,0,0,288
32027,wave,boundary,wave,u*dx(u),0,1,1,1,0,0,0,0,96
32027,wave,boundary,wave,v*dy(u),0,1,1,1,0,0,0,0,96
32027,wave,boundary,wave,w*dz(u),0,1,1,1,0,0,0,0,96
32027,wave,boundary,wave,u*dx(v),3.71668361076641e-13,24,1,2,0,3.07346722247183e-15,5.54214452108681e-11,96,0
32027,wave,boundary,wave,v*dy(v),0,1,1,1,0,0,0,0,96
32027,wave,boundary,wave,w*dz(v),3.53526723316567e-13,24,1,1,0,2.08771287957004e-15,5.5534465914775e-11,96,0
32027,wave,boundary,wave,u*dx(w),0,1,1,1,0,0,0,0,96
32027,wave,boundary,wave,v*dy(w),0,1,1,1,0,0,0,0,96
32027,wave,boundary,wave,w*dz(w),0,1,1,1,0,0,0,0,96
32027,wave,boundary,wave,u*dx(eta),9.79922469731711e-15,24,1,1,0,5.55111512312578e-16,5.55269163982075e-11,96,0
32027,wave,boundary,wave,v*dy(eta),0,1,1,1,0,0,0,0,96
32027,wave,boundary,wave,w*dz(eta),1.0263044620562e-14,24,1,2,0,6.05441243607107e-16,5.54523094109527e-11,96,0
32027,wave,boundary,wave,w*eta*dlogN2,1.08535805863004e-14,24,1,1,0,6.89419759976378e-16,5.55637758026251e-11,96,0
32027,boundary,wave,wave,u*dx(u),0,1,0,1,1,0,0,0,96
32027,boundary,wave,wave,v*dy(u),0,1,0,1,1,0,0,0,96
32027,boundary,wave,wave,w*dz(u),0,1,0,1,1,0,0,0,96
32027,boundary,wave,wave,u*dx(v),0,1,0,1,1,0,0,0,96
32027,boundary,wave,wave,v*dy(v),0,1,0,1,1,0,0,0,96
32027,boundary,wave,wave,w*dz(v),0,1,0,1,1,0,0,0,96
32027,boundary,wave,wave,u*dx(w),0,1,0,1,1,0,0,0,96
32027,boundary,wave,wave,v*dy(w),0,1,0,1,1,0,0,0,96
32027,boundary,wave,wave,w*dz(w),0,1,0,1,1,0,0,0,96
32027,boundary,wave,wave,u*dx(eta),0,1,0,1,1,0,0,0,96
