waveCount,gramError,sampledQuadraticError
1,2.66453525910038e-15,5.32064561298284e-08
2,5.16243343095231e-13,5.32064561298284e-08
3,5.42144840439846e-13,5.32064561298284e-08
4,6.06701938666912e-13,5.42245395251939e-08
5,6.14666316105333e-13,6.17804829516899e-08
6,8.74217899652372e-13,7.54102273958779e-08
7,1.64724977161284e-12,7.88048239996897e-08
8,1.75755295871113e-12,1.20018668781086e-07
9,1.7597098984716e-12,1.53751315679074e-07
10,1.77605316742519e-12,2.22290125861946e-07
11,1.77735735845842e-12,2.90839182071068e-07
12,1.78256068199009e-12,3.23314395700436e-07
13,1.78553219793692e-12,5.28983036929276e-07
14,1.78619497586292e-12,7.57432985665218e-07
15,1.78771715239052e-12,1.04914056464622e-06
16,1.90094601894397e-12,1.37001723032881e-06
